net,length_um
net459,708.79µm
net418,544.575µm
net381,534.04µm
net26,495.51µm
net470,455.21µm
net421,445.71µm
net426,434.43µm
net366,428.58µm
net339,422.3µm
net28,414.14µm
net475,409.71µm
net6,409.52µm
net29,405.82µm
net149,405.14µm
_1887_,403.14µm
net145,399.565µm
net318,388.02µm
net361,384.45µm
net40,382.26µm
net304,375.62µm
net259,371.36µm
net270,367.35µm
net2,365.26µm
net276,364.6µm
net320,361.44µm
net410,361.35µm
net148,360.135µm
net369,357.15µm
net376,351.8µm
net197,349.34µm
net333,345.775µm
net127,337.19µm
net321,335.18µm
net469,332.46µm
net373,329.25µm
net167,328.99µm
net313,324.28µm
net267,319.48µm
net230,318.73µm
net316,317.28µm
net221,311.53µm
net140,310.78µm
net213,308.32µm
net338,306.84µm
net44,306.08µm
net61,294.36µm
net188,291.425µm
_0045_,287.3µm
net248,286.08µm
net408,285.43µm
net219,285.39µm
net243,285.07µm
net453,284.62µm
net130,284.02µm
net387,283.62µm
net262,281.32µm
net328,279.31µm
net425,278.88µm
net302,278.6µm
net394,277.4µm
net457,276.06µm
net133,275.66µm
net335,275.46µm
net423,275.26µm
net196,273.755µm
net191,272.62µm
net200,272.12µm
net404,271.56µm
net409,270.96µm
net411,269.08µm
net4,267.59µm
net162,267.5µm
net207,266.92µm
net392,266.485µm
net295,263.99µm
_0917_,263.98µm
net168,263.61µm
net441,262.43µm
net169,261.715µm
net433,261.37µm
net42,259.28µm
net5,257.64µm
net345,257.34µm
net144,257.155µm
net474,256.66µm
net173,256.1µm
net125,253.06µm
net402,252.54µm
net1,252.37µm
net360,250.81µm
net124,250.625µm
net420,250.6µm
net384,250.54µm
net434,250.24µm
net343,247.4µm
net301,247.275µm
net465,246.605µm
net175,244.64µm
net274,244.56µm
net147,243.46µm
net194,243.36µm
net177,242.82µm
net220,240.065µm
net378,239.735µm
net383,238.23µm
net430,236.54µm
_1070_,235.73µm
net299,235.675µm
net202,234.84µm
net176,233.98µm
net396,233.72µm
net192,233.67µm
net184,233.44µm
net312,232.115µm
net337,230.14µm
net257,230.1µm
net368,229.54µm
net371,228.015µm
net268,227.375µm
net137,227.155µm
net379,226.875µm
net13,226.61µm
net450,226.545µm
net253,225.125µm
net180,224.56µm
net405,224.01µm
net210,223.46µm
net150,223.16µm
net128,223.01µm
net250,222.38µm
net468,221.68µm
_3003_,221.41µm
net439,220.71µm
net462,219.38µm
net273,219µm
net122,216.665µm
net271,216.005µm
net451,215.89µm
net309,215.56µm
net385,215.32µm
net131,215.065µm
net397,213.98µm
net11,212.12µm
net431,212.095µm
net239,210.99µm
net132,209.26µm
net215,209.08µm
net126,208.54µm
net466,208.37µm
net55,208.13µm
net359,207.49µm
net23,207.24µm
net429,205.74µm
net138,205.67µm
net390,205.12µm
net324,205.06µm
net294,204.445µm
_1953_,204.04µm
net134,203.41µm
net3,202.945µm
net27,202.84µm
net419,202.835µm
_2963_,202.56µm
net367,202.48µm
net123,202.265µm
net293,202.02µm
net374,200.86µm
net455,200.14µm
net31,198.825µm
net449,197.96µm
net142,197.9µm
net456,197.86µm
net265,197.07µm
net355,195.71µm
net389,195.71µm
net467,195.39µm
net372,194.57µm
net395,194.09µm
net370,193.825µm
net358,193.5µm
net201,192.66µm
net53,192.07µm
_1539_,190.85µm
net60,190.58µm
net326,190.54µm
net310,190.46µm
_3004_,189.98µm
net322,189.04µm
net473,188.6µm
net282,188.51µm
net16,187.805µm
net400,187.465µm
net447,187.42µm
net364,187.05µm
net245,186.44µm
net472,186.16µm
net24,185.315µm
net413,184.6µm
net261,184.51µm
net353,184.49µm
_1550_,183.63µm
net432,182.85µm
net36,180.44µm
_3134_,180.27µm
net461,180.08µm
net424,178.98µm
_2981_,178.95µm
net363,178.935µm
net334,178.36µm
net189,176.68µm
_2018_,176.46µm
net388,176.1µm
net417,175.96µm
net403,175.62µm
net254,175.315µm
net62,175.21µm
net19,174.905µm
net120,174.845µm
net356,173.93µm
net344,173.73µm
net34,173.37µm
_2150_,173.22µm
net178,173.04µm
net212,172.82µm
net214,172.04µm
net217,171.88µm
net172,171.76µm
net375,169.97µm
net399,168.82µm
net258,168.51µm
net283,167.98µm
net157,167.46µm
net136,166.59µm
net171,166.54µm
net416,166.37µm
net165,164.48µm
net52,163.77µm
net427,163.685µm
net193,163.55µm
net174,162.82µm
net164,162.58µm
net428,161.75µm
net444,161.625µm
net256,161.58µm
net277,160.38µm
net129,160.3µm
net398,159.64µm
net260,159.58µm
net443,158.92µm
net209,158.83µm
_0808_,158.36µm
_2869_,158.255µm
net365,158.1µm
net298,157.34µm
net382,156.93µm
net297,156.11µm
net170,155.71µm
net263,155.285µm
net280,153.44µm
net471,153.3µm
net249,152.92µm
net64,152.34µm
net234,152.12µm
net327,152.04µm
net92,151.92µm
net146,151.73µm
net289,151.64µm
net251,151.1µm
net393,150.88µm
net206,150.84µm
net377,150.14µm
net422,149.89µm
net93,149.54µm
net117,148.78µm
net319,148.36µm
net354,147.96µm
net357,147.22µm
net349,145.87µm
net340,145.605µm
net199,144.76µm
net156,144.55µm
net391,144.55µm
_0841_,144.52µm
net305,144.38µm
net401,143.86µm
net440,143.59µm
net158,143.08µm
net252,143.06µm
_2335_,142.9µm
_1135_,142.86µm
net442,142.65µm
net314,142.2µm
_0852_,142µm
net454,141.935µm
net336,141.78µm
_2073_,141.7µm
net437,141.36µm
_2095_,141.22µm
net186,140.14µm
net436,139.68µm
net222,139.54µm
net448,139.53µm
net236,138.22µm
net292,138.2µm
net135,138.06µm
net56,137.84µm
_2281_,137.78µm
net94,137.48µm
net281,136.73µm
_1266_,136.49µm
net166,136.42µm
net161,136.26µm
_3072_,136.06µm
net244,136.06µm
net330,135.94µm
net95,135.78µm
net346,135.44µm
net386,135.42µm
net286,135.34µm
net118,135.28µm
_2172_,134.94µm
net183,134.46µm
net231,134.18µm
_2967_,133.74µm
net362,133.28µm
net21,132.3µm
net22,132.3µm
net351,132.26µm
net307,131.88µm
net460,131.88µm
net33,131.5µm
net218,130.52µm
net96,130.24µm
_2959_,129.91µm
net235,129.22µm
net341,128.55µm
_1146_,128.37µm
net348,127.84µm
_2040_,127.77µm
net204,127.58µm
net141,127.04µm
net315,126.72µm
net241,126.38µm
_1462_,126.29µm
_1714_,125.98µm
net54,125.96µm
net226,125.54µm
net275,125.54µm
net139,125.13µm
net163,125.06µm
net246,123.6µm
net205,122.82µm
net291,122.68µm
net296,122.59µm
net225,122.58µm
net89,121.96µm
_2943_,121.78µm
_0787_,121.48µm
net272,121.025µm
net97,120.9µm
net464,120.74µm
net347,120.58µm
net198,120.46µm
net91,120.22µm
net247,119.81µm
net242,119.44µm
_2942_,119.16µm
net223,119µm
net288,118.9µm
net90,118.54µm
net229,118µm
net414,117.71µm
net406,117.44µm
_alu_i0.Datapath_i.fu_alu_33673_33851.out1\[31\],117.225µm
net446,114.98µm
net325,114.88µm
_alu_i0.Datapath_i.fu_alu_33673_33851.out1\[30\],114.4µm
net101,114.04µm
_2314_,112.94µm
net237,112.82µm
net438,112.575µm
net208,112.135µm
net232,111.47µm
net160,111.38µm
net224,111.32µm
net445,110.96µm
_2553_,110.83µm
net98,110.34µm
net153,110.32µm
net20,110.08µm
net452,110.08µm
_alu_i0.Datapath_i.fu_alu_33673_33851.out1\[26\],109.865µm
net266,109.32µm
net311,108.82µm
net331,108.14µm
_3048_,108.01µm
net100,107.7µm
net435,107.54µm
_3089_,107.37µm
net285,106.68µm
net185,106.41µm
_2998_,106.15µm
net240,105.72µm
net159,105.5µm
net155,105.15µm
net323,103.68µm
net143,102.16µm
net58,101.3µm
net279,100.98µm
_2933_,100.06µm
_alu_i0.Datapath_i.fu_alu_33673_33851.out1\[27\],99.94µm
net238,99.465µm
net269,99.44µm
net51,97.97µm
net7,97.92µm
_2868_,97.34µm
_2581_,96.72µm
net14,96.52µm
net154,96.12µm
_1441_,95.96µm
net308,95.595µm
_3307_,95.28µm
_0885_,95.1µm
_alu_i0.Datapath_i.fu_alu_33673_33851.out1\[23\],94.825µm
net306,94.76µm
_2910_,94.125µm
net227,93.56µm
net59,92.56µm
net18,92.47µm
net412,91.3µm
_2726_,90.82µm
_2914_,89.86µm
net329,89.6µm
_3353_,88.515µm
net284,88.02µm
net15,87.78µm
net350,87.77µm
net151,87.04µm
_3135_,86.9µm
_3016_,86.58µm
_3384_,86.22µm
net278,86.015µm
_0830_,85.93µm
_alu_i0.Datapath_i.fu_alu_33673_33851.out1\[11\],85.27µm
net10,85.16µm
net182,84.76µm
net181,84.66µm
_1572_,84.5µm
_2722_,84.36µm
net255,83.82µm
_1589_,83.14µm
net352,82.92µm
_2586_,81.93µm
_1561_,81.81µm
_1408_,81.46µm
_2498_,81.23µm
_2717_,80.94µm
_2861_,80.02µm
_alu_i0.Datapath_i.fu_alu_33673_33851.out1\[21\],79.305µm
_2958_,79.28µm
_alu_i0.Datapath_i.fu_alu_33673_33851.out1\[25\],78.485µm
net87,78.48µm
_3097_,77.91µm
_alu_i0.Datapath_i.fu_alu_33673_33851.out1\[22\],77.6µm
_0895_,77.54µm
net86,76.22µm
_3311_,76.16µm
_2668_,75.66µm
_3107_,75.35µm
_1823_,75.2µm
_2127_,74.9µm
net290,74.62µm
_1396_,74.56µm
_3267_,74.54µm
net9,74.34µm
_2911_,73.87µm
_alu_i0.Datapath_i.fu_alu_33673_33851.out1\[29\],73.625µm
_alu_i0.Datapath_i.fu_alu_33673_33851.out1\[13\],73.23µm
_2761_,72.82µm
net121,72.16µm
net300,72.1µm
net104,71.74µm
_2509_,71.64µm
net228,71.34µm
_0731_,71.1µm
_3197_,70.48µm
net8,69.88µm
_0938_,69.78µm
_1615_,69.38µm
_0488_,68.8µm
_2829_,68.625µm
_3174_,68.28µm
net233,68.12µm
_3158_,67.8µm
net380,67.715µm
_1964_,67.48µm
_1484_,66.98µm
_3238_,66.35µm
net195,66µm
net187,65.44µm
_alu_i0.Datapath_i.fu_alu_33673_33851.out1\[15\],65.285µm
_1655_,65.04µm
_3179_,64.84µm
_1342_,64.74µm
_2465_,64.56µm
_3068_,64.32µm
net303,64.26µm
net458,64.22µm
net203,64.08µm
_1799_,64µm
_3191_,63.97µm
_0793_,63.86µm
_0700_,63.72µm
net38,63.7µm
_1670_,63.62µm
_1288_,63.36µm
_1482_,63.3µm
net190,63.28µm
net67,62.885µm
_3075_,62.8µm
_1734_,62.62µm
net84,62.62µm
net85,62.62µm
_0294_,62.32µm
net342,62.24µm
net264,62.21µm
net37,61.94µm
net415,61.82µm
net211,60.98µm
_0561_,60.78µm
net35,60.72µm
_3218_,60.54µm
_3402_,60.48µm
net39,60.48µm
net317,60.235µm
_0863_,60.22µm
_3310_,60.22µm
net179,60.22µm
_1211_,60.16µm
_1419_,59.44µm
net332,59.36µm
_1079_,59.32µm
_1495_,59.32µm
_alu_i0.Datapath_i.reg_0.reg_out1\[31\],59.28µm
_2402_,59.2µm
_2215_,59.04µm
_1152_,58.96µm
net216,58.66µm
_1840_,58.58µm
net83,58.52µm
net105,58.48µm
_3276_,58.2µm
_2442_,58.16µm
_alu_i0.Datapath_i.fu_alu_33673_33851.out1\[14\],58.045µm
_0577_,57.98µm
_alu_i0.Datapath_i.fu_alu_33673_33851.out1\[20\],57.92µm
_2241_,57.78µm
net25,57.36µm
_1429_,57.22µm
_alu_i0.Datapath_i.fu_alu_33673_33851.out1\[12\],57.185µm
_0046_,57.1µm
_2978_,56.96µm
_1967_,56.95µm
_alu_i0.Datapath_i.fu_alu_33673_33851.out1\[16\],56.9µm
net106,56.58µm
_0642_,56.52µm
_3175_,56.4µm
_0418_,56.38µm
_1519_,56.26µm
_3086_,56.22µm
_1430_,56.08µm
net82,55.74µm
_1818_,55.56µm
_0974_,55.46µm
_2572_,55.36µm
_3196_,55.3µm
_1150_,55.03µm
_0660_,55.02µm
_alu_i0.Datapath_i.fu_alu_33673_33851.out1\[18\],54.925µm
_0504_,54.86µm
_3269_,54.76µm
_2938_,54.72µm
_alu_i0.Datapath_i.reg_0.reg_out1\[17\],54.58µm
_2259_,54.355µm
_alu_i0.Datapath_i.reg_0.reg_out1\[29\],54.32µm
_1188_,54.3µm
_3152_,54.3µm
_alu_i0.Datapath_i.reg_0.reg_out1\[19\],54.24µm
_1075_,54.2µm
_2478_,54.02µm
_1918_,53.955µm
_1270_,53.94µm
_2450_,53.86µm
_2162_,53.74µm
_1092_,53.72µm
_1542_,53.38µm
_2775_,53.36µm
_1012_,52.84µm
net407,52.7µm
net109,52.48µm
_1723_,52.3µm
_1674_,52.08µm
_2980_,51.52µm
a[9],51.06µm
net80,50.82µm
_2617_,50.68µm
_2820_,50.105µm
_1654_,50.02µm
_1375_,49.48µm
_2321_,49.46µm
net108,49.44µm
_1080_,49.24µm
opcode[0],49.17µm
_1583_,49.16µm
_1273_,49.12µm
_2818_,49.08µm
_2680_,48.86µm
net63,48.78µm
net17,48.72µm
_3193_,48.4µm
_2000_,48.36µm
_2709_,48.36µm
_1772_,48µm
_2456_,47.62µm
net119,47.62µm
_2013_,47.6µm
_0970_,47.54µm
_2117_,47.52µm
_1186_,47.48µm
net107,47.16µm
_3200_,47.14µm
_2053_,47.1µm
_alu_i0.Datapath_i.fu_alu_33673_33851.out1\[8\],47.085µm
_2841_,47.02µm
net152,46.98µm
_2282_,46.94µm
_1770_,46.9µm
start_port,46.65µm
_1043_,46.6µm
_3024_,46.46µm
_2755_,46.42µm
_0205_,46.32µm
_alu_i0.Datapath_i.fu_alu_33673_33851.out1\[19\],46.245µm
_alu_i0.Datapath_i.reg_0.reg_out1\[28\],46.24µm
_2578_,45.76µm
done_port,45.73µm
_1648_,45.68µm
_1898_,45.68µm
_2885_,45.68µm
_3285_,45.68µm
_0624_,45.56µm
_0351_,45.52µm
_2752_,45.4µm
_2946_,45.36µm
_1800_,45.28µm
_2654_,45.22µm
a[31],45.07µm
_3185_,44.94µm
_1773_,44.92µm
_0823_,44.82µm
_3095_,44.64µm
_2934_,44.62µm
_2449_,44.4µm
_0874_,44.34µm
_2940_,44.24µm
_2462_,44.14µm
net81,44µm
_2842_,43.73µm
_0906_,43.7µm
_3389_,43.64µm
_2542_,43.58µm
_3120_,43.58µm
_3260_,43.5µm
_alu_i0.Datapath_i.fu_alu_33673_33851.out1\[28\],43.44µm
_0047_,43.34µm
_2884_,43.34µm
_0311_,43.31µm
_3033_,43.22µm
_alu_i0.Datapath_i.reg_0.reg_out1\[14\],43.2µm
net79,43.08µm
_3162_,43.06µm
a[27],43.03µm
_2902_,43.01µm
_0434_,42.955µm
_1841_,42.86µm
_1754_,42.84µm
_1189_,42.82µm
opcode[4],42.67µm
a[11],42.64µm
b[8],42.64µm
net78,42.62µm
_0310_,42.6µm
_1077_,42.58µm
_2103_,42.575µm
_2786_,42.54µm
_3029_,42.48µm
_1048_,42.42µm
_2531_,42.42µm
_1691_,42.275µm
b[31],42.21µm
_alu_i0.Datapath_i.fu_alu_33673_33851.out1\[17\],42.205µm
_2276_,42.06µm
_3194_,42.04µm
b[29],41.97µm
a[8],41.96µm
return_port[28],41.96µm
a[10],41.86µm
opcode[7],41.85µm
_2828_,41.82µm
_2063_,41.8µm
_0701_,41.78µm
_3108_,41.6µm
opcode[6],41.51µm
_0383_,41.405µm
_3241_,41.38µm
b[12],41.28µm
b[4],41.28µm
a[28],41.27µm
b[30],41.27µm
b[11],41.26µm
b[13],41.26µm
b[5],41.26µm
a[24],41.17µm
opcode[2],41.17µm
_alu_i0.Datapath_i.fu_alu_33673_33851.out1\[9\],41.145µm
_2390_,41.08µm
b[16],41.05µm
_1425_,41.04µm
_1902_,41.04µm
return_port[24],41.04µm
net287,41.02µm
a[29],40.95µm
b[23],40.94µm
a[18],40.93µm
b[22],40.92µm
_3361_,40.88µm
clock,40.81µm
_2209_,40.76µm
_1230_,40.7µm
a[22],40.7µm
_1117_,40.61µm
a[16],40.59µm
a[23],40.59µm
return_port[22],40.59µm
_2790_,40.58µm
return_port[29],40.58µm
return_port[30],40.58µm
reset,40.49µm
opcode[5],40.47µm
b[6],40.36µm
_2639_,40.28µm
return_port[10],40.26µm
return_port[12],40.26µm
return_port[9],40.26µm
return_port[1],40.25µm
return_port[13],40.24µm
return_port[17],40.24µm
_1941_,40.18µm
a[19],40.14µm
return_port[2],40.13µm
return_port[25],40.03µm
a[12],40.02µm
a[3],40.02µm
a[7],40.02µm
b[18],40.02µm
b[25],40.02µm
_3247_,39.98µm
_1784_,39.975µm
b[14],39.91µm
return_port[26],39.91µm
_0366_,39.9µm
b[0],39.9µm
b[3],39.9µm
_1386_,39.86µm
_2220_,39.82µm
_1473_,39.8µm
return_port[5],39.68µm
_2064_,39.62µm
_2485_,39.62µm
_0726_,39.6µm
a[17],39.57µm
return_port[3],39.57µm
a[1],39.56µm
b[20],39.56µm
b[21],39.56µm
b[24],39.56µm
_3213_,39.52µm
return_port[0],39.45µm
_3259_,39.44µm
b[7],39.44µm
return_port[27],39.35µm
_alu_i0.Datapath_i.fu_alu_33673_33851.out1\[10\],39.325µm
a[15],39.23µm
b[28],39.23µm
opcode[1],39.23µm
return_port[21],39.23µm
_2051_,39.2µm
opcode[3],39.11µm
_1193_,39.08µm
_1875_,39.06µm
_2486_,39.035µm
_3326_,38.98µm
b[1],38.98µm
_3069_,38.92µm
_0729_,38.9µm
a[26],38.89µm
b[15],38.89µm
b[2],38.89µm
return_port[4],38.89µm
return_port[11],38.88µm
return_port[15],38.88µm
return_port[23],38.88µm
return_port[7],38.88µm
_2163_,38.82µm
a[30],38.77µm
a[0],38.76µm
a[14],38.76µm
a[20],38.76µm
a[2],38.76µm
a[6],38.76µm
_3324_,38.725µm
_0193_,38.68µm
a[13],38.64µm
a[21],38.64µm
b[10],38.64µm
b[17],38.64µm
b[19],38.64µm
b[26],38.64µm
b[9],38.64µm
_3044_,38.62µm
_3105_,38.58µm
_3144_,38.54µm
_1523_,38.52µm
_1431_,38.42µm
return_port[14],38.42µm
return_port[19],38.42µm
return_port[6],38.42µm
return_port[8],38.42µm
_3215_,38.38µm
_1303_,38.32µm
a[4],38.3µm
a[5],38.3µm
_2986_,38.28µm
a[25],38.18µm
_2694_,38.1µm
_3204_,38.06µm
_alu_i0.Datapath_i.reg_0.reg_out1\[16\],37.96µm
_2356_,37.94µm
_0674_,37.92µm
_2651_,37.9µm
_3239_,37.9µm
_1516_,37.895µm
_2960_,37.86µm
b[27],37.84µm
return_port[18],37.84µm
_2195_,37.83µm
_1521_,37.82µm
_2695_,37.65µm
_2261_,37.62µm
_1113_,37.56µm
_2105_,37.52µm
return_port[16],37.5µm
return_port[20],37.5µm
return_port[31],37.5µm
_1210_,37.44µm
_2444_,37.32µm
_1752_,37.29µm
_2595_,37.22µm
_2096_,37.1µm
_2318_,37.06µm
_3314_,37.03µm
_3051_,36.93µm
_0473_,36.9µm
_1369_,36.68µm
net103,36.68µm
_3264_,36.42µm
net463,36.38µm
_1901_,36.36µm
_0271_,36.32µm
_2776_,36.16µm
_1318_,36.11µm
_1987_,36.01µm
_0236_,35.96µm
_2448_,35.9µm
_2085_,35.74µm
_alu_i0.Datapath_i.reg_0.reg_out1\[21\],35.72µm
_0672_,35.66µm
_0862_,35.64µm
_3133_,35.6µm
_0009_,35.53µm
_2945_,35.51µm
_0263_,35.48µm
_1506_,35.48µm
_0192_,35.44µm
_0253_,35.44µm
_1977_,35.44µm
_1434_,35.38µm
_2334_,35.34µm
_3339_,35.335µm
_3027_,35.3µm
_1984_,35.02µm
_2397_,34.96µm
_1307_,34.94µm
_alu_i0.Datapath_i.reg_0.reg_out1\[22\],34.84µm
net57,34.84µm
